 Customer Name ;Jan-19;Feb-19;Mar-19;Apr-19;May-19;Jun-19;Jul-19;Aug-19;Sep-19;Oct-19;Nov-19;Dec-19;Jan-20;Feb-20;Mar-20;Apr-20;May-20;Jun-20;Jul-20;Aug-20;Sep-20;Oct-20;Nov-20;Dec-20;Jan-21;Feb-21;Mar-21;Apr-21;May-21;Jun-21;Jul-21;Aug-21;Sep-21;Oct-21;Nov-21;Dec-21;Jan-22;Feb-22;Mar-22;Apr-22;May-22;Jun-22;Jul-22
JB;;;;;;;;;;;;;;;;;;; 200.000 ;;;;;;;;;;;;;;;;;;;;;;;;
JC;;;;;;;;;;;;;; 95.000 ; 85.000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
JD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; 170.000 ;; - ; - ; 95.000 ; - ; - ; - ; 94.350 
JE;;;;;;;;;;;;;;;; 255.000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;
JF;;;;;;;;;;;;; 935.000 ; 1.320.000 ; 2.540.000 ; 299.250 ;; 795.000 ; 1.185.000 ; 1.375.000 ; 585.000 ; 2.429.000 ; 2.480.000 ; 2.490.250 ; 1.955.000 ; 1.960.000 ; 2.370.250 ; 1.441.750 ; 1.092.250 ; 290.000 ; - ; 400.000 ; 1.080.000 ; 540.000 ; 775.000 ; 2.485.000 ; 850.000 ; 1.105.000 ; 935.000 ; 350.000 ; 281.950 ; 1.569.550 ; 404.050 
JG;;;;;;;;;;;;;;;;;;;;;;; 783.750 ;; - ; 410.000 ; - ; - ; - ; 570.000 ; - ; - ; - ; 950.000 ; - ; - ; 980.000 ; - ; 600.000 ; - ; 729.648 ; - ; - 
JH;;;;;;;;;;;;;;;;;;;;;;; 210.000 ;; - ; 210.000 ; 210.000 ; - ; - ; 210.000 ; - ; - ; - ; 975.000 ; 165.000 ; - ; 730.000 ; - ; 565.000 ; - ; 398.700 ; 411.820 ; 498.400 
JI1;;;;;;;;;;;;;;;;;;;;;;;;;;;; 2.990.000 ; 7.058.500 ; 5.130.000 ;; 15.014.750 ; 30.495.000 ; 9.704.250 ;;; 10.495.000 ; 3.910.000 ; 15.975.000 ; - ; - ; - ; - 
JI2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; 13.344.433 ; 4.320.000 
JJ;;;;;;;;;;;;;; 555.000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
JK;;;;;;;;;;;;;; 190.000 ;;;; 590.000 ;; 285.000 ;; 180.000 ; 655.000 ;; 300.000 ; - ; 170.000 ; 85.000 ; - ; - ; 180.000 ; - ; - ; 540.000 ; 180.000 ; - ; 180.000 ; 270.000 ; 180.000 ; 187.600 ; 555.100 ; - ; - 
JL;;;;;;;;;;;;;;;;;;;;;;;; 410.000 ;;;;;;;;;;;;;;;;;;;
JM;;;;;;;;;;;;;;;;;;;;; 350.000 ;;;; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 435.000 ; - ; 1.020.000 ; - ; - ; - ; - ; - ; - 
