ds;country;polygon_source;polygon_id;polygon_name;changeofmovement;stayput;baseline_name;baseline_type;;provinsi
Apr-21;IDN;GADM;IDN.9.6_1;Ciamis;-0.061360333;0.240964;full_february;DAY_OF_WEEK;;Jawa Barat
Apr-21;IDN;GADM;IDN.9.7_1;Cianjur;-0.097059333;0.260484;full_february;DAY_OF_WEEK;;Jawa Barat
Apr-21;IDN;GADM;IDN.10.7_1;Cilacap;-0.119263667;0.241200667;full_february;DAY_OF_WEEK;;Jawa Tengah
Apr-21;IDN;GADM;IDN.4.1_1;Cilegon;-0.067669333;0.197768667;full_february;DAY_OF_WEEK;;Banten
Apr-21;IDN;GADM;IDN.9.8_1;Cimahi;-0.182189667;0.251917667;full_february;DAY_OF_WEEK;;Jawa Barat
Apr-21;IDN;GADM;IDN.9.9_1;Cirebon;-0.108380667;0.217581667;full_february;DAY_OF_WEEK;;Jawa Barat
Apr-21;IDN;GADM;IDN.10.8_1;Demak;-0.008923667;0.193716;full_february;DAY_OF_WEEK;;Jawa Tengah
Apr-21;IDN;GADM;IDN.9.10_1;Depok;-0.147328;0.263016333;full_february;DAY_OF_WEEK;;Jawa Barat
Apr-21;IDN;GADM;IDN.9.11_1;Garut;-0.084665333;0.248915667;full_february;DAY_OF_WEEK;;Jawa Barat
Apr-21;IDN;GADM;IDN.11.7_1;Gresik;-0.103543333;0.201178333;full_february;DAY_OF_WEEK;;Jawa Timur
Apr-21;IDN;GADM;IDN.10.9_1;Grobogan;-0.075713;0.226199;full_february;DAY_OF_WEEK;;Jawa Tengah
Apr-21;IDN;GADM;IDN.33.2_1;Gunung Kidul;-0.110196333;0.188669;full_february;DAY_OF_WEEK;;Yogyakarta
Apr-21;IDN;GADM;IDN.9.12_1;Indramayu;-0.040214;0.252416;full_february;DAY_OF_WEEK;;Jawa Barat
Apr-21;IDN;GADM;IDN.7.1_1;Jakarta Barat;-0.185544333;0.25866;full_february;DAY_OF_WEEK;;Jakarta Raya
Apr-21;IDN;GADM;IDN.7.2_1;Jakarta Pusat;-0.217844333;0.254484;full_february;DAY_OF_WEEK;;Jakarta Raya
Apr-21;IDN;GADM;IDN.7.3_1;Jakarta Selatan;-0.23074;0.274419;full_february;DAY_OF_WEEK;;Jakarta Raya
Apr-21;IDN;GADM;IDN.7.4_1;Jakarta Timur;-0.213583333;0.271418667;full_february;DAY_OF_WEEK;;Jakarta Raya
Apr-21;IDN;GADM;IDN.7.5_1;Jakarta Utara;-0.182924;0.269235333;full_february;DAY_OF_WEEK;;Jakarta Raya
Apr-21;IDN;GADM;IDN.11.8_1;Jember;-0.089888667;0.237473;full_february;DAY_OF_WEEK;;Jawa Timur
Apr-21;IDN;GADM;IDN.10.10_1;Jepara;-0.064168;0.175231;full_february;DAY_OF_WEEK;;Jawa Tengah
Apr-21;IDN;GADM;IDN.11.9_1;Jombang;-0.061061667;0.216437;full_february;DAY_OF_WEEK;;Jawa Timur
Apr-21;IDN;GADM;IDN.10.11_1;Karanganyar;-0.13521;0.172750333;full_february;DAY_OF_WEEK;;Jawa Tengah
Apr-21;IDN;GADM;IDN.9.13_1;Karawang;-0.084976;0.201371667;full_february;DAY_OF_WEEK;;Jawa Barat
Apr-21;IDN;GADM;IDN.10.12_1;Kebumen;-0.099717333;0.243682333;full_february;DAY_OF_WEEK;;Jawa Tengah
Apr-21;IDN;GADM;IDN.11.10_1;Kediri;-0.089482667;0.222793667;full_february;DAY_OF_WEEK;;Jawa Timur
Apr-21;IDN;GADM;IDN.10.13_1;Kendal;-0.093824333;0.197423667;full_february;DAY_OF_WEEK;;Jawa Tengah
Apr-21;IDN;GADM;IDN.7.6_1;Kepulauan Seribu;-0.104821667;0.275009667;full_february;DAY_OF_WEEK;;Jakarta Raya
Apr-21;IDN;GADM;IDN.10.14_1;Klaten;-0.089932;0.186506;full_february;DAY_OF_WEEK;;Jawa Tengah
Apr-21;IDN;GADM;IDN.9.14_1;Kota Bandung;-0.175292667;0.262630667;full_february;DAY_OF_WEEK;;Jawa Barat
Apr-21;IDN;GADM;IDN.9.15_1;Kota Bekasi;-0.176081333;0.261391;full_february;DAY_OF_WEEK;;Jawa Barat
Apr-21;IDN;GADM;IDN.11.11_1;Kota Blitar;-0.090500333;0.210418667;full_february;DAY_OF_WEEK;;Jawa Timur
Apr-21;IDN;GADM;IDN.9.16_1;Kota Bogor;-0.145424;0.247428;full_february;DAY_OF_WEEK;;Jawa Barat
Apr-21;IDN;GADM;IDN.9.17_1;Kota Cirebon;-0.082335;0.211147333;full_february;DAY_OF_WEEK;;Jawa Barat
Apr-21;IDN;GADM;IDN.11.12_1;Kota Kediri;-0.072066;0.198503;full_february;DAY_OF_WEEK;;Jawa Timur
Apr-21;IDN;GADM;IDN.11.13_1;Kota Madiun;-0.111926667;0.198680667;full_february;DAY_OF_WEEK;;Jawa Timur
Apr-21;IDN;GADM;IDN.10.15_1;Kota Magelang;-0.101573;0.190825333;full_february;DAY_OF_WEEK;;Jawa Tengah
Apr-21;IDN;GADM;IDN.11.14_1;Kota Malang;-0.137607667;0.245398;full_february;DAY_OF_WEEK;;Jawa Timur
Apr-21;IDN;GADM;IDN.11.15_1;Kota Mojokerto;-0.043076333;0.184674333;full_february;DAY_OF_WEEK;;Jawa Timur
Apr-21;IDN;GADM;IDN.11.16_1;Kota Pasuruan;-0.067136667;0.211132667;full_february;DAY_OF_WEEK;;Jawa Timur
Apr-21;IDN;GADM;IDN.10.16_1;Kota Pekalongan;-0.075105667;0.197320667;full_february;DAY_OF_WEEK;;Jawa Tengah
Apr-21;IDN;GADM;IDN.11.17_1;Kota Probolinggo;-0.082561333;0.199123333;full_february;DAY_OF_WEEK;;Jawa Timur
Apr-21;IDN;GADM;IDN.10.17_1;Kota Semarang;-0.119159333;0.185765333;full_february;DAY_OF_WEEK;;Jawa Tengah
Apr-21;IDN;GADM;IDN.4.2_1;Kota Serang;-0.093958;0.214239667;full_february;DAY_OF_WEEK;;Banten
Apr-21;IDN;GADM;IDN.9.18_1;Kota Sukabumi;-0.040444;0.243857667;full_february;DAY_OF_WEEK;;Jawa Barat
Apr-21;IDN;GADM;IDN.4.3_1;Kota Tangerang;-0.168680667;0.238055;full_february;DAY_OF_WEEK;;Banten
Apr-21;IDN;GADM;IDN.9.19_1;Kota Tasikmalaya;-0.055835333;0.226837667;full_february;DAY_OF_WEEK;;Jawa Barat
Apr-21;IDN;GADM;IDN.10.18_1;Kota Tegal;-0.095080333;0.191651;full_february;DAY_OF_WEEK;;Jawa Tengah
Apr-21;IDN;GADM;IDN.33.3_1;Kota Yogyakarta;-0.151529333;0.204252333;full_february;DAY_OF_WEEK;;Yogyakarta
